APPCH:010,A,R01,AG2SA,AG2SA,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,B,J,S;
APPCH:020,A,R01,AG2SA,AG2SI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R01,AG2SB,AG2SB,YB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,B,J,S;
APPCH:020,A,R01,AG2SB,AG2SI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R01,AG2SC,AG2SC,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,B,J,S;
APPCH:020,A,R01,AG2SC,AG2SI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R01, ,AG2SI,YB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R01, ,AG2SF,YB,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0040,0050,+,03040,     ,     , ,   ,    ,   ,YARG,YB,P,A, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R01, ,AG2SM,YB,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,0040,0070, ,00807,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R01, ,AG2ST,YB,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,01500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R01, ,AG2SH,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:060,R,R01, , , , , , E  , ,010,VM, , , , , ,      ,    ,    ,0630,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R19,AG2ND,AG2ND,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,B,J,S;
APPCH:020,A,R19,AG2ND,AG2NI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R19,AG2NE,AG2NE,YB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,B,J,S;
APPCH:020,A,R19,AG2NE,AG2NI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R19,AG2NG,AG2NG,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,B,J,S;
APPCH:020,A,R19,AG2NG,AG2NI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R19, ,AG2NI,YB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R19, ,AG2NF,YB,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1990,0050,+,02390,     ,     , ,   ,-300,   ,YARG,YB,P,A, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R19, ,AG2NM,YB,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1990,0050, ,00796,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R19, ,AG2NH,YB,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R19, , , , , , E  , ,010,VM, , , , , ,      ,    ,    ,1890,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,V19,ARG1,ARG,YB,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,0, ,S;
APPCH:020,A,V19,ARG1,D048H,YB,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,V19,ARG1,CF19,YB,P,C,EE  ,L,   ,CF,Y,ARG,YB,D, ,      ,0250,0078,2050,0010,+,02900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,V19,ARG2,ARG,YB,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,0, ,S;
APPCH:020,A,V19,ARG2,D036H,YB,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,V19,ARG2,CF19,YB,P,C,EE  ,L,   ,CF,Y,ARG,YB,D, ,      ,0250,0078,2050,0010,+,02900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,V19,D025J,D025J,YB,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,0, ,S;
APPCH:020,A,V19,D025J,CF19,YB,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,V,V19, ,CF19,YB,P,C,E  I, ,   ,IF, ,ARG,YB,D, ,      ,0250,0078,    ,    ,+,02900,     ,11000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,V,V19, ,FF19,YB,P,C,E  F, ,   ,CF, ,ARG,YB,D, ,      ,0250,0048,2050,0030,+,01940,     ,     , ,   ,    ,   ,ARG,YB,D, , ,0, ,S;
APPCH:030,V,V19, ,MA19,YB,P,C,E  M, ,   ,CF, ,ARG,YB,D, ,      ,0250,0013,2050,0035, ,00820,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,V,V19, , , , , , EM , ,   ,CA, , , , , ,      ,    ,    ,2050,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,VORA,ARG1,ARG,YB,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,0, ,C;
APPCH:020,A,VORA,ARG1,ARG,YB,D, ,VY  , ,   ,FC, ,ARG,YB,D, ,      ,0000,0000,0850,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,VORA,ARG1,FF290,YB,P,C,EE  ,R,   ,CF,Y,ARG,YB,D, ,      ,1100,0063,2900,0010,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,A,VORA,ARG2,ARG,YB,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,11000,-,210,    ,   , , , , , ,0, ,C;
APPCH:020,A,VORA,ARG2,ARG,YB,D, ,VY  , ,   ,FC, ,ARG,YB,D, ,      ,0000,0000,0980,0090, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,VORA,ARG2,FF290,YB,P,C,EE  ,R,   ,CF,Y,ARG,YB,D, ,      ,1100,0063,2900,0030,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,V,VORA, ,FF290,YB,P,C,E  F, ,   ,IF, ,ARG,YB,D, ,      ,1100,0063,    ,    ,+,02500,     ,11000, ,   ,    ,   ,ARG,YB,D, , ,0, ,C;
APPCH:030,V,VORA, ,ARG,YB,D, ,V  M, ,   ,CF, ,ARG,YB,D, ,      ,0000,0000,2900,0063, ,02260,     ,     , ,   , 000,   , , , , , ,0, ,C;
