APPCH:010,A,RNVA,MUTRU,MUTRU,CY,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,MUTRU,AVRAS,CY,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     ,-,200,    ,   , , , , , ,B,J,C;
APPCH:030,A,RNVA,MUTRU,MIVOP,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     ,-,180,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,SATEL,SATEL,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,200,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,SATEL,MIVOP,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     ,-,180,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,UDKEG,UDKEG,CY,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,UDKEG,AVRAS,CY,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     ,-,200,    ,   , , , , , ,B,J,C;
APPCH:030,A,RNVA,UDKEG,MIVOP,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     ,-,180,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVA, ,MIVOP,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,18000,-,180,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVA, ,TOTAT,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2150,0080,+,08400,     ,     , ,   ,    ,   ,CBB6,CY,P,A, ,B,J,C;
APPCH:030,R,RNVA, ,DUXIK,CY,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,2450,0050, ,08080,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNVA, ,MUTRU,CY,P,C,EYM ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,08700,     ,     ,-,165,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVA, ,MUTRU,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,3050,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVB,MUTRU,MUTRU,CY,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVB,MUTRU,AVRAS,CY,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     ,-,200,    ,   , , , , , ,B,J,C;
APPCH:030,A,RNVB,MUTRU,MIVOP,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     ,-,180,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVB,SATEL,SATEL,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,200,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVB,SATEL,MIVOP,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     ,-,180,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVB,UDKEG,UDKEG,CY,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVB,UDKEG,AVRAS,CY,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     ,-,200,    ,   , , , , , ,B,J,C;
APPCH:030,A,RNVB,UDKEG,MIVOP,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     ,-,180,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVB, ,MIVOP,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,18000,-,180,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVB, ,TOTAT,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2150,0080,+,08400,     ,     , ,   ,    ,   ,CBB6,CY,P,A, ,B,J,C;
APPCH:030,R,RNVB, ,DUXIK,CY,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,2450,0050, ,08080,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNVB, ,MUTRU,CY,P,C,EYM ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,09200,     ,     ,-,165,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVB, ,MUTRU,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,3050,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
RWY:RW06 ,-0520,      ,01447, ,    , ,   ;N56234070,W129570875,1001;
RWY:RW24 ,     ,      ,01426, ,    , ,   ;N56234576,W129555824,0000;
