APPCH:010,A,R01,EDBIK,EDBIK,DN,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R01,EDBIK,IRSOX,DN,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:010,A,R01,IRSOX,IRSOX,DN,P,C,EE H,R,010,HF, , , , , ,      ,    ,    ,0120,T010,+,02500,     ,05000,-,230,    ,   , , , , , ,B,J,S;
APPCH:010,A,R01,IVGOL,IVGOL,DN,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R01,IVGOL,IRSOX,DN,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:010,A,R01,POVES,POVES,DN,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R01,POVES,IRSOX,DN,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:010,R,R01, ,IRSOX,DN,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,05000,-,200,    ,   , , , , , ,B,J,S;
APPCH:020,R,R01, ,EK600,DN,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0120,0050, ,02000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R01, ,RW01,DN,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0120,0060, ,00078,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R01, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,0120,    ,+,00450,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R01, ,IVGOL,DN,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,-,02000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R01, ,IRSOX,DN,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:070,R,R01, ,IRSOX,DN,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,0120,T010,+,02500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:010,A,R19,INELI,INELI,DN,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R19,INELI,EK401,DN,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:010,A,R19,ODNIL,ODNIL,DN,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R19,ODNIL,EK401,DN,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:010,A,R19,VOXEN,VOXEN,DN,E,A,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R19,VOXEN,EK401,DN,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:010,R,R19, ,EK401,DN,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,05000,-,200,    ,   , , , , , ,B,J,S;
APPCH:020,R,R19, ,EK400,DN,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1920,0050, ,02000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R19, ,RW19,DN,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1920,0060, ,00096,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R19, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,1920,    ,+,00450,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R19, ,VOXEN,DN,E,A,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R19, ,VOXEN,DN,E,A,EE H,L,010,HM, , , , , ,      ,    ,    ,1020,T010,+,03000,     ,     ,-,230,    ,   , , , , , ,B,J,S;
RWY:RW01 ,     ,      ,00028, ,    , ,   ;N04381121,E007565280,0000;
RWY:RW19 ,     ,      ,00046, ,    , ,   ;N04385299,E007570023,0480;
